온/오프라인 판매 보고서,,,,,,,,,
조회기간,오프라인(매장),,,온라인,,,지역서점,,
,부수,종수,금액,부수,종수,금액,부수,종수,금액
21년 07월,"2,887,272","190,783","37,924,299,264","2,129,435","196,782","31,061,158,200","26,493","6,545","342,811,545"
21년 08월,"2,813,282","187,248","37,309,466,590","1,917,613","192,817","28,521,508,973","110,370","24,601","1,202,992,750"
21년 09월,"4,967,348","259,138","70,442,223,108","3,900,729","239,888","58,023,291,440","127,830","32,174","1,577,210,057"
21년 10월,"3,784,268","250,465","52,115,206,320","3,130,552","212,364","44,487,635,963","114,897","33,681","1,425,679,905"
21년 11월,"4,387,361","264,495","61,131,519,170","3,801,893","237,705","54,465,465,220","310,860","52,079","3,856,620,454"
21년 12월,"4,966,845","262,982","69,977,107,300","5,038,612","244,695","69,575,764,507","447,322","59,316","5,584,279,516"
22년 01월,"4,610,378","244,889","66,845,937,638","4,307,469","231,664","61,932,680,351","488,445","52,601","5,860,489,073"
22년 02월,"4,514,831","253,006","63,619,036,877","3,970,439","234,505","55,823,029,282","383,882","50,789","4,533,934,259"
22년 03월,"5,544,083","271,401","82,739,160,471","4,827,234","253,608","71,798,648,439","500,858","49,806","5,605,809,742"
22년 04월,"4,544,766","265,711","64,173,609,495","3,991,207","241,990","56,601,614,080","344,873","49,058","4,309,909,323"
22년 05월,"4,332,877","261,151","59,911,046,813","3,599,570","236,351","51,124,749,599","300,495","50,747","3,697,133,366"
22년 06월,"3,360,727","234,734","47,402,041,761","6,392,236","230,390","86,790,851,731","290,792","48,722","3,612,839,250"
