조회기간,오프라인(매장),,온라인,,지역서점,
,부수,금액,부수,금액,부수,금액
21년 07월,"241,679","3,693,278,875","218,380","3,449,668,452",43,"959,700"
21년 08월,"188,126","3,026,557,536","161,778","2,707,255,820",443,"8,937,450"
21년 09월,"129,754","3,054,106,682","100,754","2,357,398,741","1,186","26,346,200"
21년 10월,"91,829","2,112,296,818","63,712","1,449,457,823",924,"19,018,010"
21년 11월,"93,888","2,156,333,031","65,704","1,515,781,703",944,"19,652,155"
21년 12월,"105,583","2,453,762,778","84,377","1,917,146,460","1,274","25,009,495"
22년 01월,"91,048","2,105,971,006","80,306","1,848,050,602","1,030","21,615,020"
22년 02월,"99,791","2,284,195,028","70,983","1,637,549,230",477,"9,444,250"
22년 03월,"165,803","3,911,128,558","112,480","2,658,398,510",530,"9,654,760"
22년 04월,"91,541","2,107,425,326","79,299","1,828,923,420",456,"8,838,420"
22년 05월,"93,378","2,119,976,044","70,492","1,600,913,098",548,"11,498,690"
22년 06월,"71,026","1,629,829,775","123,860","2,847,144,810","1,473","28,980,500"
